path,en,it
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/2,"<<""I was looking out for Gliders I could challenge to scale this old hunk of steel!"">>","<<""Stavo cercando dei Glider da sfidare a scalare questo vecchio rottame d'acciaio!"">>"
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/5,I tell them they’ve found one: me. And I point to myself.,Le dico che ne ha trovata una: io. E indico me stessa.
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/8,"<<""Well, it’s not much fun if you just...do it yourself, is it? Here."">>","<<""Beh, non è molto divertente se lo fai... e basta da sola, no? Tieni."">>"
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/12,"Annoyed, they hand me a Climber’s badge I never asked for. I take it with unappreciated gratitude.","Seccata, mi porge un distintivo dello Scalatore che non ho mai chiesto. Lo prendo con una gratitudine non apprezzata."
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/15,"<<""You ruined my little game, but... at least I know this thing’s in good hands, with a Glider who knows their stuff. Hate to say it, but skills like that are hard to come by."">>","<<""Mi hai rovinato il giochino, ma... almeno so che questa cosa è in buone mani, con una Glider che sa il fatto suo. Mi scoccia ammetterlo, ma abilità del genere non si trovano facilmente."">>"
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/19,Why do you hate to say it?,Perché ti scoccia ammetterlo?
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/25,Just be impressed!,Limitati a essere colpita!
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/31,I’m considering the Climber’s Mask.,Sto pensando alla Maschera dello Scalatore.
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/35/c-3/2,"<<""That’s a fair question. I’m not sure. Possibly I’ve got a poor relationship with offering praise to others. Possibly I’m just a little grumpy."">>","<<""Domanda giusta. Non ne sono sicura. Forse ho un brutto rapporto con i complimenti agli altri. Forse sono solo un po' scorbutica."">>"
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/35/c-3/4,I suppose that’s fair enough.,Suppongo sia abbastanza giusto.
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/35/c-4/3,"<<""You’re right! I should be! It’s very impressive what you did. And you’d... probably..."">>","<<""Hai ragione! Dovrei esserlo! Quello che hai fatto è molto notevole. E... probabilmente..."">>"
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/35/c-4/5,They get quieter.,Abbassa la voce.
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/35/c-4/7,"<<""You’d probably make a fine Climber."">>","<<""Probabilmente saresti una brava Scalatrice."">>"
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/35/c-5/2,"<<""You’re smart to do so. Not a lot of folks could scale this old heap like you did. Maybe next time we meet, it’ll be me sneaking up on you."">>","<<""Fai bene a farlo. Non sono in molti a poter scalare questo vecchio rottame come hai fatto tu. Magari la prossima volta che ci incontriamo, sarò io a sgattaiolarti alle spalle."">>"
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-0/35/c-5/5,"I tell them maybe, but that I’ve got the eyes of a hawk. They give a scoffing laugh and a dismissive little wave.","Le dico che forse, ma che ho occhi di falco. Sbuffa una risata e fa un piccolo gesto sprezzante con la mano."
root/2/tower_of_steel_content/10/quest_start_alt/0/35/g-1/0,"I thank them for their gift, say goodbye, and get on my way.","La ringrazio per il dono, la saluto e mi rimetto in marcia."
root/2/tower_of_steel_content/10/quest_active/0/6,There they are.,Eccola lì.
root/2/tower_of_steel_content/10/quest_active/0/8,"I walk towards the climber, chest puffed with performative pride and a well-earned swagger in my walk.","Mi avvicino alla scalatrice, il petto gonfio di orgoglio teatrale e un'andatura strafottente meritatamente."
root/2/tower_of_steel_content/10/quest_active/0/10,It doesn’t matter if I’m a little sweaty; they can’t see that. It’s fine.,Non importa se sono un po' sudata; non possono vederlo. Va bene così.
root/2/tower_of_steel_content/10/quest_active/0/14,"Well, well, well!","Bene, bene, bene!"
root/2/tower_of_steel_content/10/quest_active/0/20,"What were you saying, again?","Cosa stavi dicendo, scusa?"
root/2/tower_of_steel_content/10/quest_active/0/26,"Not bad for a small fry, eh?","Niente male per una piccoletta, eh?"
root/2/tower_of_steel_content/10/quest_active/0/30/g-0/2,"I think I expect more antagonism, but what I get is a laugh.","Mi aspettavo più ostilità, ma ottengo una risata."
root/2/tower_of_steel_content/10/quest_active/0/30/g-0/4,"<<""Well done! I’m... I’m impressed! And not above eating my words, when I’ve been proven wrong. Here."">>","<<""Ben fatto! Sono... sono colpita! E non sono troppo orgogliosa per rimangiarmi le parole quando ho torto. Tieni."">>"
root/2/tower_of_steel_content/10/quest_active/0/30/g-0/8,"They toss a Climber’s badge my way and, mercifully, I catch it. Today really is my day.","Mi lancia un distintivo dello Scalatore e, per fortuna, lo prendo al volo. Oggi è proprio la mia giornata."
root/2/tower_of_steel_content/10/quest_active/0/30/g-0/10,"<<""You’ve earned that, Glider. Only a Climber could take that taunt and meet the challenge head-on."">>","<<""Te lo sei guadagnato, Glider. Solo una Scalatrice potrebbe accettare quella provocazione e raccogliere la sfida a testa alta."">>"
root/2/tower_of_steel_content/10/quest_active/0/30/g-0/12,"<<""It’s an ascent like no other, this heap, and you should be proud you pulled it off."">>","<<""È una scalata unica, questo rottame, e dovresti essere fiera di esserci riuscita."">>"
root/2/tower_of_steel_content/10/quest_active/0/30/g-0/14,"<<""I take everything back. You’re a very big fry."">>","<<""Ritiro tutto. Sei una pezza grossa, altroché."">>"
root/2/tower_of_steel_content/10/quest_active/0/30/g-0/17,I’ll take it.,Lo accetto volentieri.
root/2/tower_of_steel_quest_definition/1,Tower Of Steel,Torre d'Acciaio
root/2/tower_of_steel_quest_definition/4,quest_giver,
root/2/tower_of_steel_quest_definition/7/6/b/1,inactive,
root/2/tower_of_steel_quest_definition/8/6/b/1,active,
root/2/tower_of_steel_quest_definition/9/1/b/1,completed,
root/2/tower_of_steel_quest_definition/16/1/b/3,I spotted a climber standing at the top of an old ruined ship.,Ho notato una scalatrice in cima a una vecchia nave in rovina.
root/2/tower_of_steel_quest_definition/24/1/b/4,I should climb up to meet whoever's up there.,Dovrei arrampicarmi per andare a conoscere chiunque sia lassù.
root/2/tower_of_steel_quest_definition/31/1/b/3,"I climbed up and spoke to Zayna. They were impressed with my skills, and gave me a Climbing Badge.",Mi sono arrampicata e ho parlato con Zayna. È rimasta colpita dalle mie abilità e mi ha dato un Distintivo dell'Arrampicata.
root/2/sometimes_a_well_is_just_a_well_quest_definition/1,Sometimes A Well Is Just A Well,A Volte un Pozzo è Solo un Pozzo
root/2/sometimes_a_well_is_just_a_well_quest_definition/4,micah,
root/2/sometimes_a_well_is_just_a_well_quest_definition/7/6/b/1,inactive,
root/2/sometimes_a_well_is_just_a_well_quest_definition/8/6/b/1,active,
root/2/sometimes_a_well_is_just_a_well_quest_definition/9/1/b/1,completed,
root/2/sometimes_a_well_is_just_a_well_quest_definition/16/1/b/3,I spoke to Bashir at Five Bells Camp. He said his friend Micah has gone missing.,Ho parlato con Bashir al Campo Cinque Campane. Dice che il suo amico Micah è scomparso.
root/2/sometimes_a_well_is_just_a_well_quest_definition/24/1/b/5/1/b/4,I should look for Micah at Thieving Magpie Well.,Dovrei cercare Micah al Pozzo della Gazza Ladra.
root/2/sometimes_a_well_is_just_a_well_quest_definition/24/1/b/6/1/b/4,I should climb down and speak to the person in the well.,Dovrei calarmi e parlare con la persona nel pozzo.
root/2/sometimes_a_well_is_just_a_well_quest_definition/31/1/b/3,"I found Micah at the bottom of the well. He gave me a key, which should give me access to the machinery at the well.",Ho trovato Micah in fondo al pozzo. Mi ha dato una chiave che dovrebbe darmi accesso ai macchinari del pozzo.
root/2/sometimes_a_well_is_just_a_well_quest_definition/39/1/b/4,I need to find a way to lift Micah out of the well.,Devo trovare un modo per tirare Micah fuori dal pozzo.
root/2/sometimes_a_well_is_just_a_well_quest_definition/46/1/b/3,I used the crane mechanism to lift Micah out of the well.,Ho usato il meccanismo della gru per tirare Micah fuori dal pozzo.
root/2/sometimes_a_well_is_just_a_well_quest_definition/54/1/b/4,I should speak to Micah.,Dovrei parlare con Micah.
root/2/sometimes_a_well_is_just_a_well_quest_definition/61/1/b/3,Micah gave me a Climbing Badge for rescuing him.,Micah mi ha dato un Distintivo dell'Arrampicata per averlo salvato.
root/2/heartbreak_content/1/quest_start/6,The Atomic Heart - the power station supporting Eccria - has failed. Zuli wants me to go and investigate the Heart and see what's wrong.,Il Cuore Atomico — la centrale che alimenta Eccria — si è guastato. Zuli vuole che vada a indagare al Cuore per scoprire cosa non va.
root/2/heartbreak_content/1/quest_start/16,Zuli gives me a keycard that will open the door to the Heart.,Zuli mi dà una tessera che aprirà la porta del Cuore.
root/2/heartbreak_content/1/zuli_waiting_for_report/0,Zuli is waiting for me to go and investigate the Atomic Heart.,Zuli aspetta che vada a indagare al Cuore Atomico.
root/2/heartbreak_content/1/heart_directions/4/1/b/1,"I tell Zuli that I found the Heart, but I haven't got anything to report yet.","Dico a Zuli che ho trovato il Cuore, ma non ho ancora niente da riferire."
root/2/heartbreak_content/1/heart_directions/5/1/b/1,"The heart is out some distance away from the town. To find it, I should head to the sub-station just outside the town wall. From there, I can follow the giant cable along the sand to the Heart.","Il Cuore è a una certa distanza dalla città. Per trovarlo, dovrei dirigermi alla sottostazione appena fuori le mura. Da lì, posso seguire il cavo gigante lungo la sabbia fino al Cuore."
root/2/heartbreak_content/1/missing_power_core_clue/6,It looks like an important part of the Heart has been ripped out here.,Sembra che una parte importante del Cuore sia stata strappata via da qui.
root/2/heartbreak_content/1/feathers_clue/6,There's some feathers on the floor here.,Ci sono delle piume sul pavimento qui.
root/2/heartbreak_content/1/blood_clue/6,There's a trail of blood leading out the door here.,Qui c'è una scia di sangue che porta fuori dalla porta.
root/2/heartbreak_content/1/glass_clue/6,Whatever smashed this glass came from outside the window and landed in this room.,Qualunque cosa abbia frantumato questo vetro è arrivata da fuori dalla finestra ed è atterrata in questa stanza.
root/2/heartbreak_content/1/glove_clue/6,There's a single glove lying on the floor here.,C'è un singolo guanto sul pavimento qui.
root/2/heartbreak_content/1/found_all_check/4/1/b/1,I think I have enough information to report back to Zuli.,Credo di avere abbastanza informazioni per riferire a Zuli.
root/2/heartbreak_content/1/zuli_report_clues/6,I report my findings to Zuli. She suspects the Heart has been sabotaged.,Riferisco le mie scoperte a Zuli. Sospetta che il Cuore sia stato sabotato.
root/2/heartbreak_content/1/zuli_report_clues/8,She asks me to investigate around the town.,Mi chiede di indagare in giro per la città.
root/2/santi_town_engineers_quest_definition/1,Heartbreak in the City,Crepacuore in Città
root/2/santi_town_engineers_quest_definition/4,"zuli, cable_start, atomic_heart",
root/2/santi_town_engineers_quest_definition/7/6/b/1,inactive,
root/2/santi_town_engineers_quest_definition/8/6/b/1,active,
root/2/santi_town_engineers_quest_definition/9/1/b/1,completed,
root/2/santi_town_engineers_quest_definition/22,The Atomic Heart powering Eccria has failed. Zuli wants me to go and investigate the heart.,Il Cuore Atomico che alimenta Eccria si è guastato. Zuli vuole che vada a indagare al cuore.
root/2/santi_town_engineers_quest_definition/26,Zuli gave me a keycard that will unlock the door to the Heart.,Zuli mi ha dato una tessera che aprirà la porta del Cuore.
root/2/santi_town_engineers_quest_definition/33/1/b/4,Find the Atomic Heart. I can follow the giant power cable there from Eccria.,Trovare il Cuore Atomico. Posso seguire il gigantesco cavo elettrico da Eccria fino a lì.
root/2/santi_town_engineers_quest_definition/34/1/b/3,I found the Atomic Heart.,Ho trovato il Cuore Atomico.
root/2/santi_town_engineers_quest_definition/41/1/b/3,The Power Core is missing from the central chamber of the Heart.,Il Nucleo di Potenza manca dalla camera centrale del Cuore.
root/2/santi_town_engineers_quest_definition/48/1/b/3,I found some feathers on the floor of the central chamber.,Ho trovato delle piume sul pavimento della camera centrale.
root/2/santi_town_engineers_quest_definition/55/1/b/3,There's a trail of blood on the floor of the control room.,C'è una scia di sangue sul pavimento della sala di controllo.
root/2/santi_town_engineers_quest_definition/62/1/b/3,The window of the control room has been smashed.,La finestra della sala di controllo è stata frantumata.
root/2/santi_town_engineers_quest_definition/69/1/b/3,I found a glove on the floor outside the door to the control room.,Ho trovato un guanto sul pavimento fuori dalla porta della sala di controllo.
root/2/santi_town_engineers_quest_definition/72/5/b/3,I reported my findings back to Zuli.,Ho riferito le mie scoperte a Zuli.
root/2/santi_town_engineers_quest_definition/73/9/b/4,"I can keep investigating the Heart, or I can report my findings back to Zuli.","Posso continuare a indagare al Cuore, oppure riferire le mie scoperte a Zuli."
root/2/santi_town_engineers_quest_definition/74/5/b/4,I've seen enough clues - I should report back to Zuli.,Ho visto abbastanza indizi — dovrei tornare a riferire a Zuli.
root/2/santi_town_engineers_quest_definition/75/6/b/4,Investigate the Heart.,Indaga sul Cuore.
root/2/santi_town_engineers_quest_definition/82/1/b/3,I need to investigate around the town to learn more about the situation.,Devo indagare in giro per la città per saperne di più sulla situazione.
root/2/oasis_flower_character/4,"<<""Hi there!"">>","<<""Ciao!"">>"
root/2/oasis_flower_character/7,"<<""See you later, Glider."">>","<<""A più tardi, Glider."">>"
root/2/oasis_flower_character/10/generic_chat/0,"<<""Thanks again for the flower."">>","<<""Grazie ancora per il fiore."">>"
root/2/oasis_flower_character/10/edge_case/0/0/18/s0/3,"<<""I saw you get that flower over there-- it’s amazing! You’re such a good hoverer! I can’t wait for <i>my</i> Gliding. I want to hover too!"">>","<<""Ti ho vista prendere quel fiore laggiù-- è incredibile! Sei davvero brava a planare! Non vedo l'ora che arrivi il <i>mio</i> Volo. Voglio planare anch'io!"">>"
root/2/oasis_flower_character/10/edge_case/0/0/18/s0/6,"I look down at the child before me as they bob with excitement, and tell them their Gliding will be on them sooner than they know, and that then they’ll be able to pick as many oasis flowers as they like.","Guardo dall'alto la bambina davanti a me che saltella per l'eccitazione, e le dico che il suo Volo arriverà prima di quanto non creda, e che allora potrà raccogliere tutti i fiori d'oasi che vorrà."
root/2/oasis_flower_character/10/edge_case/0/0/18/s0/8,"<<""That’s in forever! I need a flower <i>now</i>! Could you maybe give it to me? Please?"">>","<<""Mancherà un'eternità! Mi serve un fiore <i>adesso</i>! Potresti magari darmelo? Ti prego?"">>"
root/2/oasis_flower_character/10/edge_case/0/0/18/s0/10,The flower?,Il fiore?
root/2/oasis_flower_character/10/edge_case/0/0/18/s0/13,"<<""Please please please?"">>","<<""Ti prego ti prego ti prego?"">>"
root/2/oasis_flower_character/10/edge_case/0/0/18/s1/3,"<<""Please can I have that flower? Please please please?"">>","<<""Per favore me lo dai quel fiore? Ti prego ti prego ti prego?"">>"
root/2/oasis_flower_character/10/edge_case/0/4,It’s all yours,È tutto tuo
root/2/oasis_flower_character/10/edge_case/0/10,"It’s mine, I’m afraid.","È mio, mi dispiace."
root/2/oasis_flower_character/10/edge_case/0/14/c-0/8,I hand them the flower and they squeal with delight.,Le porgo il fiore e strilla di gioia.
root/2/oasis_flower_character/10/edge_case/0/14/c-0/11,"<<""Thank you, thank you, thank you!"">>","<<""Grazie, grazie, grazie!"">>"
root/2/oasis_flower_character/10/edge_case/0/14/c-1/2,"I tell them the flower is mine, but they seem undeterred.","Le dico che il fiore è mio, ma non sembra scoraggiata."
root/2/oasis_flower_character/10/edge_case/0/14/c-1/5,"<<""Please! I <i>really</i> want it."">>","<<""Ti prego! Lo voglio <i>tantissimo</i>."">>"
root/2/oasis_flower_character/10/quest_start/0/8,"As we make eye contact, I find myself waved over. A small, slightly scratchy voice emerges from the mask.","Quando i nostri sguardi si incrociano, mi ritrovo a essere chiamata con un cenno. Una vocina, leggermente graffiante, esce dalla maschera."
root/2/oasis_flower_character/10/quest_start/0/11,"<<""I like your bike!"">>","<<""Mi piace la tua hoverbike!"">>"
root/2/oasis_flower_character/10/quest_start/0/15,What bike?,Quale hoverbike?
root/2/oasis_flower_character/10/quest_start/0/21,How do you know about my bike?,Come fai a sapere della mia hoverbike?
root/2/oasis_flower_character/10/quest_start/0/25/g-0/0,"<<""I saw you riding into town! I see lots of things every day."">>","<<""Ti ho vista entrare in città cavalcandola! Vedo tante cose ogni giorno."">>"
root/2/oasis_flower_character/10/quest_start/0/25/g-0/2,I envy them. Would that seeing things could be a day’s work.,La invidio. Magari vedere cose fosse il lavoro di una giornata.
root/2/oasis_flower_character/10/quest_start/0/25/g-0/4,"<<""Can you also hover?"">>","<<""Sai anche planare?"">>"
root/2/oasis_flower_character/10/quest_start/0/25/g-0/8,Of course!,Certo!
root/2/oasis_flower_character/10/quest_start/0/25/g-0/14,A little.,Un po'.
root/2/oasis_flower_character/10/quest_start/0/25/g-0/20,"I’m a Glider, aren’t I?","Sono una Glider, no?"
root/2/oasis_flower_character/10/quest_start/0/25/g-1/0,"<<""I wish I could do that."">>","<<""Vorrei tanto poterlo fare anch'io."">>"
root/2/oasis_flower_character/10/quest_start/0/25/g-1/3,The child sighs and looks wistfully off.,La bambina sospira e guarda lontano con desiderio.
root/2/oasis_flower_character/10/quest_start/0/25/g-1/7,You will!,Lo farai!
root/2/oasis_flower_character/10/quest_start/0/25/g-1/13,Patience. Your time will come.,Pazienza. Il tuo momento arriverà.
root/2/oasis_flower_character/10/quest_start/0/25/g-1/19,It’s not as thrilling as you think.,Non è entusiasmante come credi.
root/2/oasis_flower_character/10/quest_start/0/25/g-1/23/c-5/3,"I tell them that one day they will, and that it might happen to them rather quicker than they think, so they ought to be ready. It’s met with a sigh.","Le dico che un giorno lo farà, e che potrebbe succederle più presto di quanto pensa, quindi dovrebbe essere pronta. Ottengo un sospiro."
root/2/oasis_flower_character/10/quest_start/0/25/g-1/23/c-5/6,"<<""I know, but that’s so long! And I need to do it <i>now</i>!"">","<<""Lo so, ma è troppo tempo! E devo farlo <i>adesso</i>!"">"
root/2/oasis_flower_character/10/quest_start/0/25/g-1/23/c-6/3,"I tell them to be patient, and that their time will come.","Le dico di avere pazienza, che il suo momento arriverà."
root/2/oasis_flower_character/10/quest_start/0/25/g-1/23/c-6/5,"I think on how excited I once was to learn all of this, to open myself to the Perpetual, and how when the gift of the Gliding finally came, it was at the cost of a goodbye that was so difficult to make.","Penso a quanto ero eccitata io stessa quando dovevo imparare tutto questo, ad aprirmi al Perpetuo, e a come, quando il dono del Volo finalmente arrivò, fu al prezzo di un addio così difficile da pronunciare."
root/2/oasis_flower_character/10/quest_start/0/25/g-1/23/c-6/8,"<<""I know I’ll do it someday, but that’s in forever! I need it now!"">>","<<""So che lo farò un giorno, ma manca un'eternità! Mi serve adesso!"">>"
root/2/oasis_flower_character/10/quest_start/0/25/g-1/23/c-7/3,"I tell them that hovering, however exciting it may appear, isn’t all that thrilling.","Le dico che planare, per quanto eccitante possa sembrare, non è poi così entusiasmante."
root/2/oasis_flower_character/10/quest_start/0/25/g-1/23/c-7/5,"It’s a lie, mostly, but I get the sense that filling their brain with the joys of Gliding will only serve to make them jealous.","È quasi del tutto una bugia, ma ho la sensazione che riempirle la testa delle gioie del Volo servirebbe solo a farla diventare gelosa."
root/2/oasis_flower_character/10/quest_start/0/25/g-1/23/c-7/7,"They seek the fun of it all, not the responsibility.","Cerca il divertimento, non la responsabilità."
root/2/oasis_flower_character/10/quest_start/0/25/g-1/23/c-7/9,"<<""Even if it’s not exciting all the time, it’s still helpful!"">>","<<""Anche se non è sempre eccitante, è comunque utile!"">>"
root/2/oasis_flower_character/10/quest_start/0/25/g-1/23/c-7/11,They sigh.,Sospira.
root/2/oasis_flower_character/10/quest_start/0/25/g-1/23/c-7/14,"<<""And I need to do it now!"">>","<<""E mi serve farlo adesso!"">>"
root/2/oasis_flower_character/10/quest_start/0/25/g-2/0,"I look down at them. I know that if I were so young, I would be thrilled at the opportunity to meet a stranger with a bike, endless freedom, and the ability to move in new and exciting ways, inaccessible to me.","La guardo dall'alto. So che se fossi così giovane, sarei entusiasta dell'occasione di incontrare un'estranea con una hoverbike, libertà sconfinata, e la capacità di muoversi in modi nuovi ed eccitanti, inaccessibili a me."
root/2/oasis_flower_character/10/quest_start/0/25/g-2/2,I ask them why they’re so intent on doing it <i>now</i>.,Le chiedo perché sia così decisa a farlo <i>adesso</i>.
root/2/oasis_flower_character/10/quest_start/0/25/g-2/4,"<<""Because I want to go over there! Across the oasis! And I can’t!"">>","<<""Perché voglio andare laggiù! Dall'altra parte dell'oasi! E non posso!"">>"
root/2/oasis_flower_character/10/quest_start/0/25/g-2/6,I ask why.,Chiedo perché.
root/2/oasis_flower_character/10/quest_start/0/25/g-2/10,"<<""Because I saw a big beautiful perfect lovely flower right in the middle of it! On a big rock. And I want it so so so so much! Oh! Maybe you could put me on your back!"">>","<<""Perché ho visto un grande bellissimo perfetto fiore proprio in mezzo! Su una grande roccia. E lo voglio tanto tanto tanto tanto! Oh! Magari potresti caricarmi sulle spalle!"">>"
root/2/oasis_flower_character/10/quest_start/0/25/g-2/14,I don’t think so.,Non credo proprio.
root/2/oasis_flower_character/10/quest_start/0/25/g-2/20,I’m worried I’d drop you.,Ho paura di farti cadere.
root/2/oasis_flower_character/10/quest_start/0/25/g-2/26,Not sure I’m that strong.,Non sono sicura di essere così forte.
root/2/oasis_flower_character/10/quest_start/0/25/g-3/2,"I decline, hating the sag in their shoulders, and explain that while I can’t allow them to ride with me, I would be more than happy to get this flower. Their glee is returned.","Rifiuto, odiando il modo in cui si abbassano le sue spalle, e le spiego che pur non potendo farla salire con me, sarei più che felice di prendere quel fiore. La sua gioia ritorna."
root/2/oasis_flower_character/10/quest_start/0/25/g-3/5,"<<""Really? Thank you! Thank you! Bring it right back here!"">>","<<""Davvero? Grazie! Grazie! Riportamelo qui!"">>"
root/2/oasis_flower_character/10/quest_active/0,"<<""Did you get the flower yet? I really really want it!"">>","<<""L'hai preso il fiore? Lo voglio tantissimo!"">>"
root/2/oasis_flower_character/10/quest_complete/7,"I approach with the saunter of one used to heroism. My new friend bounces up and down, little fists pushed together over their chest.","Mi avvicino con l'andatura di chi è abituata all'eroismo. La mia nuova amica saltella su e giù, i pugnetti stretti insieme sul petto."
root/2/oasis_flower_character/10/quest_complete/11,"<<""That was amazing! You’re such a good hoverer!"">>","<<""È stato incredibile! Sei davvero brava a planare!"">>"
root/2/oasis_flower_character/10/quest_complete/13,"I hand the flower over, to an excited gasp and grasping hands.","Le porgo il fiore, accolto da un'esclamazione eccitata e mani avide."
root/2/oasis_flower_character/10/quest_complete/15,"As they tuck it delicately away, stem-first, they tell me they’re going to dry it and keep it forever in a book they’ve started with their best, best friend who lives nearby.","Mentre lo ripone con delicatezza, gambo per primo, mi dice che lo farà essiccare e lo conserverà per sempre in un libro che ha iniziato con la sua migliore, migliore amica che abita lì vicino."
root/2/oasis_flower_character/10/quest_complete/17,"They have nearly fifty flowers, now, and are splitting the book in two so that they might keep one half in each of their homes.","Hanno quasi cinquanta fiori, ora, e stanno dividendo il libro in due per tenerne metà ciascuna nelle proprie case."
root/2/oasis_flower_character/10/quest_complete/19,"This particular flower, they say, will go to their friend: she has looked at it many times and wished for it, and now that wish may be granted, because a stranger came their way.","Questo fiore particolare, dice, andrà alla sua amica: lo ha guardato molte volte desiderandolo, e ora quel desiderio potrà avverarsi, perché un'estranea è arrivata da lei."
root/2/oasis_flower_character/10/quest_complete/21,I tell them it was a pleasure and they give me an unexpected hug about the waist.,Le dico che è stato un piacere e lei mi dà un abbraccio inaspettato attorno alla vita.
root/2/oasis_flower_character/10/quest_complete/24,"<<""Thank you thank you thank you! This is the best!"">>","<<""Grazie grazie grazie! È la cosa più bella!"">>"
root/2/oasis_flower_character/10/quest_complete/26,They aren’t wrong.,Non ha torto.
