Name,Category,Rarity,Name_EN,Description_EN,ShopDescription_EN
LittleKicker,Fishing,Common,Little Kicker,This small fish has a split fin that it uses to propel its way through the dunes as if it had two legs kicking back and forth. ,
SandRay,Fishing,Common,Sand Ray,This rare fish is held up as a sign of good luck in cultures across the dunes. They typically travel alone. A delicacy in Redsee but eating sand rays is frowned upon elsewhere.,
TeacupAngler,Fishing,Common,Teacup Angler,Somehow lives in the pools of sulphur in Hakoa. They seem to be the only living creature that can survive in such an environment.,
ScabbyFish,Fishing,Common,Scabby Fish,"Enjoys the cooler climes of the Badlands floor, this fish is only remarkable in how unremarkable it is. ",
TrifleJelly,Fishing,Common,Trifle Jelly,"Unfortunately inedible despite its name, the layers of thin membrane surround a rock-like core which shrinks over the course of its lifetime until it dies.",
LightKoi,Fishing,Common,Light Koi,"Native to the Badlands, these beautiful creatures are often kept and sold as pets but their glistening scales are also used in jewelry sold in Eccria.",
BloatedEyeClam,Fishing,Common,Bloated Eye Clam,"Living on the roots of dead trees, their hardened purple exterior is filled with an extremely delicious, soft flesh desired all across Midden.",
PebbleEye,Fishing,Common,Pebble Eye,"It’s thin pencil-like body means these fish can burrow into small crevices and holes in rocks, protecting themselves from the sun and predators.",
MonumentalBikeWingsSchematic,Quest,Rare,Hicaric Bike Wings Schematic,A rubbing of a schematic I took from the old Hicaric shrine. If I take this to the engineer outside the shrine they might be able to help me.,
MonumentalBikeBoosterSchematic,Quest,Rare,Hicaric Bike Booster Schematic,A rubbing of a schematic I took from the old Hicaric shrine. If I take this to the engineer outside the shrine they might be able to help me.,
MonumentalBikeFrontSchematic,Quest,Rare,Hicaric Bike Front Schematic,A rubbing of a schematic I took from the old Hicaric shrine. If I take this to the engineer outside the shrine they might be able to help me.,
AtomicWhaleshipBikeFront,BikePart,Rare,Whale Ship Bike Front,"Perfectly preserved in the Whale, the front of this bike is made from familiar looking metals moulded with precision impossible for humans to replicate.",
AtomicWhaleshipBikeWings,BikePart,Rare,Whale Ship Bike Wing,"Kept in the Whale for an incomprehensibly long time. As it switches states the mechanisms glide fluidly in a satisfying, fluid movement. ",
AtomicWhaleshipBikeBooster,BikePart,Rare,Whale Ship Bike Engine,An inaudible vibrating hum emanates from the sleek surface of this part when you put your hands on it. It feels alive to every subtle movement made by the driver.,
BeetleFront,BikePart,Rare,Beetle Bike Front,"Frantic energy runs through the mandible-like features of this bike, never stopping and constantly in motion as if it is looking for something.",
BeetleWings,BikePart,Rare,Beetle Bike Wings,"A part often utilised by Beetle enthusiasts, the mandible-like wings flare out with intense tension when riders strafe and curl up tight for tight aerodynamic gliding when driving at high speeds.",
BeetleBooster,BikePart,Rare,Beetle Bike Booster,"Smoke pours out of the many exhausts at the back of this booster, best to avoid use indoors or near other people. ",
DeliveryBikeFront,BikePart,Rare,Delivery Bike Front,A part used by delivery drivers across Midden.There are hidden storage slots built underneath metal panels at the front for sensitive cargo. ,
DeliveryBikeWings,BikePart,Rare,Delivery Bike Wings,"Metal frames on the side of the bike are used for hauling gear by Couriers. Getting the balance of the bike correct before setting off is very important, riding an unsettled bike over a big dune can result in a messy landing. ",
DeliveryBikeBooster,BikePart,Rare,Delivery Bike Engine,Carefully sprung and balanced for delivering delicate gear across all types of terrain. It would take a big hit for a package to drop off the back of the carrier. ,
EyriesBikeFront,BikePart,Rare,Eyries Bike Front,"The engine is surrounded by lightweight wood and hollow bone, it needs a lot of maintenance to keep running cleanly, but when it does, it's a great ride.",
EyriesBikeWings,BikePart,Rare,Eyries Bike Wings,"An exo-skeleton of bone and lightweight wood construction give this a boat-like feeling, carved by an expert craftsman in the Badland Eyries. ",
EyriesBikeBooster,BikePart,Rare,Eyries Bike Booster,"Red wood from the Uplands of the Badlands combined with bones from the Chales make this a great, if rustic, material to ride with.",
GiraffeFront,BikePart,Rare,Giraffe Bike Front,"An engine designed for pulling things across long distances. Commonly used for transporting large ship parts, Scrappers are often seen with these. ",
GiraffeWings,BikePart,Rare,Giraffe Bike Wings,"Stores large amounts of energy for pulling objects across dunes, useful for pulling something covered by heavy sands to the surface.",
GiraffeBooster,BikePart,Rare,Giraffe Bike Booster,The tall neck adjusts to counterweight large objects that this bike is used to pull across the dunes. It can feel a little unwieldy if you aren’t towing anything.,
GlidingBikeFront,BikePart,Rare,Gliding Bike Front,The Eccrine made glass at the core of this part is unmatched in durability. The stability and chemical purity of the glass makes the energy source inside it extremely stable.,
GlidingBikeWings,BikePart,Rare,Gliding Bike Wings,"Wings for the bike I helped Sizo to build. They provide a smooth balance of movement, perfect for long journeys.",
GlidingBikeBooster,BikePart,Rare,Gliding Bike Booster,Built from parts I collected around The Ewer. The red trail it emits is mesmerising and reminds me of the red cloth of the Ibexii.,
LightningCrystalBikeFront,BikePart,Rare,Lightning Crystal Bike Front,Active rivulets of lightning run in seams within the crystals I harvested in Hakoa. A worthwhile reward for such a dangerous task.,
LightningCrystalBikeWings,BikePart,Rare,Lightning Crystal Bike Wings,"Lighting is an uncommon power source across the dunes, impractical and dangerous, only those following specific Hakoan Hicaric traditions would even try to utilise it.",
LightningCrystalBikeBooster,BikePart,Rare,Lightning Crystal Bike Booster,Lightning filled crystals move themselves using some kind of static charge. The bike controls and guides their formations to harness the power in each crystal with extreme precision. ,
MonumentalRingBikeFront,BikePart,Rare,Hicaric Ring Bike Front,Glowing rings pulse with perpetual energy. Remnants of technology used by the Hicaris to harness the power of the Perpetual remain.,
MonumentalRingBikeWings,BikePart,Rare,Hicaric Ring Bike Wings,Rings spin in counter movements to create a finely balanced suspension in the air.,
MonumentalRingBikeBooster,BikePart,Rare,Hicaric Ring Bike Booster,A booster made from old schematics in Hicaric ruins. The Hicaris must have used similar designs to get around.,
NomadicFront,BikePart,Rare,Nomadic Bike Front,"A sleek, minimal look that has a well balanced weight to it. A commonly used part used by many people across Midden’s dunes.",
NomadicWings,BikePart,Rare,Nomadic Bike Wing,"Floating weights inside each module adjust their position automatically to correct poor driving movements, making for an easy drive.",
NomadicBooster,BikePart,Rare,Nomadic Bike Engine,"A modern Limina bike component, often seen driven by nomads in the Wash. The fins help create a balanced driving experience.",
SandcutterFront,BikePart,Rare,Sandcutter Front,"The most recognisable type of bike for children in the dunes, it doesn't get far off the ground or go very fast so it's good to learn on.
",
SandcutterWings,BikePart,Rare,Sandcutter Wings,"It's falling apart, but it's familiarity is heart warming. Keep the bike low to the ground and safe for inexperienced drivers, just watch out for rocks.",
SandcutterBooster,BikePart,Rare,Sandcutter Engine,"An old beat up thing, I'm surprised it runs at all. The smoke it outputs is almost definitely toxic. ",
SpeedsterBikeFront,BikePart,Rare,Speedster Bike Front,"A recent Machinist development, you can see how the sleek lines of the machined metal deflect wind to create incredible speed.",
SpeedsterBikeWings,BikePart,Rare,Speedster Bike Wing,"Small fins flutter like gills, creating small air flows that allow subtle controlled movements at high speed.",
SpeedsterBikeBooster,BikePart,Rare,Speedster Bike Engine,A large fin at the back lowers to provide fantastic aerodynamics. The small fins allow micro adjustments in turning and drag for discrete control.,
AtomicPriesthoodSetMask,Clothing,Rare,Atomic Priesthood Mask,Description for the atomic priesthood mask,
AtomicSuitHelmet,Clothing,Rare,Whale Ship Mask,The visor of this Mask gives clarity and visibility I'm not used to with other masks. The air tastes cleaner whilst I wear it. ,
ChildhoodSetMask,Clothing,Rare,Child's Mask,"A blank looking mask worn by all children of the dunes. Most kids customise theirs for fun, but more traditional clans frown on that sort of self expression.",
ClimbingSetMask,Clothing,Rare,Climbing Mask,"You can't help but feel embodied by a reptilian creature when wearing this mask, walls look less steep somehow.",
EngineerSetHelmet,Clothing,Rare,Machinist's Mask,"Made from rough parts of old ships beaten into a smooth perfect surface, a mask beautiful because of its functional qualities.",
EntertainersMask,Clothing,Rare,Entertainer's Mask,"A somewhat ridiculous looking mask, but I guess that's the point. I feel a levity looking at it. Wearing it in almost any situation makes the world feel a little warmer.",
FishingSetMask,Clothing,Rare,Angler Mask,"Fish shaped and made of a rubbery material, it's colouration a clear nod to Coral and Cobalt, the twin fish gods.",
GuardMask,Clothing,Rare,Guard's Mask,"A mask with 3 feathers from an Eagle, worn by guards in Eccria mostly, but occasionally seen out in the dunes in special circumstances.",
HerculesBeetleMask,Clothing,Rare,Hercules Beetle Mask,"A mask made to resemble a hercules beetle, made from intricately worked husks that feel hard and rock but extremely lightweight. ",
HuntersMask,Clothing,Rare,Hunters Mask,"A mask worn by hunters, completely useless, the decorations that adorn it seem to be more to impress other people than for anything else. ",
IbexiiSetMask,Clothing,Rare,Ibexii Mask,A mask worn by those in the Sansee made of bone. The ones particular to the Ibexii are made from the skull of a mountain goat.,
ParasiteBeetleMask,Clothing,Rare,Oranged Ringed Beetle Mask,A mask resembling an Oranged Ringed Beetle found in the North East of The Wash. People seem to have great affection for the small and curious critters. ,
SandwormMask,Clothing,Rare,Sandwyrm Mask,"A rancid smelling thing when worn, somehow made from the flesh of a dead sandwyrm. A definite sense of discomfort seems to come over people when wearing it.",
ScrappersMask,Clothing,Rare,Scrapper Mask,"A scrappers life is filled with danger and solitude. The mask leaves me with a cold, lonely feeling. A scrappers life is often spent in old ships, alone in your thoughts.",
ShadeOfEccriaMask,Clothing,Rare,Shade of Eccria Mask,"The mask of the Shade of Eccria, when I wear it, I feel transformed into something closer to a spirit, I don't feel human any more.",
ShepherdsMask,Clothing,Rare,Shepherd Mask,"Worn by shepherds across Midden, Animals seem to respond to this mask with friendliness and comfort. ",
SlicerBeetleMask,Clothing,Rare,Slicer Beetle Mask,"A mask made to resemble a Slicer Beetle, sharply carved mandibles sit at the top of the mask and glint in the light from certain angles. Beetle poo not included.",
ChumMask,Clothing,Rare,Chum Mask,"A gift from the Queen Chum, this mask reacts whenever I’m close to a Chum that hasn’t been found yet.",
AtomicPriesthoodSetTop,Clothing,Rare,Atomic Priesthood Torso,"Worn by the enigmatic Atomic Priesthood, beaten into shape from old ship parts and decorated with cloaks that represent different rankings within the Priesthood",
AtomicSuitTop,Clothing,Rare,Whale Ship Top,"Made from an unrecognisable material, wearing it seems to keep me at a consistently comfortable temperature.",
BeetleSetTop,Clothing,Rare,Beetle Station Top,A hooded top worn by the Beetle Station owners throughout the dunes. I can’t help feeling a sense of familiarity and safety when wearing one.,
BikerSetTop,Clothing,Rare,Biker Top,"Often worn by bikers from the Redsee, designed to give good movement whilst accelerating across dunes.",
BlackDesertSetTop,Clothing,Rare,Hakoan Top,"Made from a rubbery material this is essential gear for Hakoan Crystal Farmers, with plenty of storage for harvested crystals.",
ChildhoodSetTop,Clothing,Rare,Ibexii Children Top,"My old Ibexii top and hood, a hand-me-down from Yaara. The scratchiness reminds me of home.",
ClimbingSetTop,Clothing,Rare,Bouldering Top,"Though they won’t help me climb further, the hand wraps and lightweight fit of this gear are great for making scaling mountainous heights more comfortable. ",
EccrianSetTop,Clothing,Rare,Eccrine Top,"A sophisticated look, suitable for a city dweller. It's not particularly practical but I feel a certain confidence whilst wearing it.",
EngineerSetTop,Clothing,Rare,Machinist Top,"A standard uniform worn by Machinists in Midden, Machinists will always make sure each set has its own unique modifications for their own particular needs.",
FingerClanSetTop,Clothing,Rare,Eyries Top,"Great for climbing atop the Chales, the fur lining gives you great protection for exploring at heights.",
FishingSetTop,Clothing,Rare,Angler Top,A bib for fishing.,
GuardOutfitTop,Clothing,Rare,Eccrine Guard Top,"Worn by the guards of Eccria, provides protection against physical attacks whilst retaining mobility.",
IbexiiSetTop,Clothing,Rare,Ibexii Glider Top,The clothing made for Ibexii children as they go out on their gliding. The cloak is unmistakably Ibexii red.,
MonumentalTop,Clothing,Rare,Monumental Stone Top,An incredibly crafted piece of ritual clothing. It is awkward to wear but hard to take your eyes off.,
SurferSetTop,Clothing,Rare,Sand Surfer Top,Clothing particularly well suited for sliding down large sand dunes.,
WhiteDesertSetTop,Clothing,Rare,Wash Top,"Worn by those who live in the Wash, the material is permeable making it naturally cooling and comfortable to wear in the sun.",
AtomicPriesthoodSetTrousers,Clothing,Rare,Atomic Priesthood Trousers,The way these trousers sound when an Atomic Priest approaches is unmistakable. They are hot and uncomfortable to wear in the sandy dunes.,
AtomicSuitTrousers,Clothing,Rare,Whale Ship Trousers,So lightweight and form fitting that it doesn't feel much more than an extra layer of skin. Whatever it is made of is unclear to me.,
BeetleSetTrousers,Clothing,Rare,Beetle Station Trousers,"Soft and luxurious, they remind me of a good nights sleep.",
BikerSetTrousers,Clothing,Rare,Bikers Trousers,Padding inside the legs of these makes sure they don't wear thin when riding bikes constantly over long distances at high speeds.,
BlackDesertSetTrousers,Clothing,Rare,Hakoan Trousers,"Rubberised to insulate the wearer from static charges and lightning strikes, these clothes are perfect for exploring the rough Hakoan landscape. ",
ChildhoodSetTrousers,Clothing,Rare,Ibexii Trousers,Comfy sandles for exploring sandy places. Easy to get sand out of but not the best for climbing.,
ClimbingSetBottoms,Clothing,Rare,Bouldering Trousers,Tight foot wrappings allow you to feel every nook and foothold as you climb. It doesn’t make you more effective at climbing but it does feel better somehow. ,
EccrianSetTrousers,Clothing,Rare,Eccrine Trousers,A simple pair of trousers worn in the Eccrine style. Great for an evening city stroll down by the oasis or for relaxing at the Overhang Cafe.,
EngineerSetTrousers,Clothing,Rare,Machinist Trousers,"Practical trousers for working on bikes and other atomic gear, pockets for tools everywhere.",
FingerClanSetTrousers,Clothing,Rare,Eyries Trousers,"The split toe shoes make missteps at great heights less likely, and grips on the soles make exploration easier on foot.",
FishingSetTrousers,Clothing,Rare,Angler Bottoms,"Boots and trousers for fishing, they seem to reduce the noise made on sandy surfaces, so anglers don't scare away sandfish, with lots of pockets for bait.",
GuardOutfitBottoms,Clothing,Rare,Eccrine Guard Trousers,"Made from Hakoan metals, the lightness of these metals is unparalleled, allowing nimble movement and strong resistance in combat.",
IbexiiSetTrousers,Clothing,Rare,Ibexii Glider Trousers,"Jadi made these, the patterning is unique to the Ibexii. The fabric seems to have been made at the Burnt Oak Station.",
MonumentalBottom,Clothing,Rare,Monumental Stone Bottoms,"They have somehow withstood the test of time, avoiding centuries of sand blasting it into a smooth nothingness, this ritual item glow magnificently.",
SableHunchTrousers,Clothing,Rare,Sable Hunch Trousers,"Supremely comfortable, but make sure the top is tied up tightly before venturing into sandy terrain, sand will build up and weigh you down otherwise. ",
SurferSetTrousers,Clothing,Rare,Sand Surfer Shorts,"Layered shorts that flap satisfyingly when surfing down a sand dune at high speeds, they work well at keeping grains of sand out.",
WhiteDesertSetTrousers,Clothing,Rare,Wash Trousers,"Often worn by traders, these trousers are made of a material that is resistant to the stains of the chalk deposits that litter The Wash. ",
ScrapMetal,Quest,Common,Scrap Metal,"Scrap metal collected by scrappers for use in a variety of ways, from repairing bikes and other mechanised goods to producing cuts. Scavenged from ancient ships and can be traded at the scrap yard at Burnt Oak Station.",
ClimbingBadge,Badge,Rare,Climbing Badge,"Shaped like a reptile's hand, I feel more confident about climbing just looking at it.",
FallowPomegranate,General,Common,Fallow Pomegranate ,"Only worth picking after they have fermented, these Pomegranate create a delicious tasting beverage.",
ShyRijwurPulp,General,Common,Shy Rijwur Pulp,Emits from the top of the Shy Rijwur plant. It is remarkably sticky. Very helpful when repairing things.,
Fig,General,Common,Narrow Stalk Fig,"Undoubtedly my favourite fruit, the first thing I would ask for when we passed travelling merchants with the Ibexii. ",
ShadedLeafButterfly,General,Common,Shaded Leaf Butterfly,"Found in the palm forest in the western dunes, these vibrant creatures help to propagate life in the forest.",
ChalkButterfly,General,Common,Chalk Butterfly,"Found in the Wash, the white parts of its wings seem to be from a build up of chalk, allowing you to tell the age of a butterfly by how white it is.",
OasisDragonfly,General,Common,Oasis Dragonfly,"Only found in large, open bodies of water. Tricky to catch but beautiful to look at and extremely nutritious.",
SaltButterfly,General,Common,Salt Butterfly,"These butterflies seem to feed off particular plants in the salt plains, it’s a wonder that they can survive out there at all. ",
SunshineButterfly,General,Common,Sunshine Butterfly,"Butterflies that hibernate during the cold desert nights by burrowing into the sands. During the day they fly in the dunes, actively seeking sunlight to absorb into their wings in a process akin to photosynthesis.",
MerchantBadge,Badge,Rare,Merchant Badge,"A gem representing a cut adorns this circular badge, given or sold by members of the merchants guild.",
BadlandsMap,Key,Rare,Badlands Map,"Impossible to navigate through the towering and maze-like cliffs without, a map of the Badlands made and sold by members of the Cartography guild",
EasternDuneMap,Key,Rare,Sansee Map,"A map of the Sansee. We Ibexii spend most of our time in these scorching sands, certain landmarks are familiar but this map of the Sansee will help for the vast lands between. Made and sold by members of the Cartography guild",
WesternDuneMap,Key,Rare,Redsee Map,A map of the Redsee made and sold by members of the Cartography guild. ,
WhiteDesertMap,Key,Rare,The Wash Map,A map of The Wash. Chalky deposits punctuate pink sands. The map is made and sold by members of the Cartography guild,
BlackDesertMap,Key,Rare,Hakoa Map,"A map of Hakoa, this will be useful navigating its dense and unforgiving atmosphere. Created and traded by members of the Cartography guild",
SaltPlainsMap,Key,Rare,Sodic Waste Map,"A map of the flat, metal littered Sodic Waste made and sold by members of the Cartography guild",
CatEarCanyonMap,Key,Rare,Ewer Map,A map of the Ewer sold by members of the Cartography guild,
EntertainersBadge,Badge,Rare,Entertainer's Badge,I remember making these as a child. It's not the most well made badge you'll ever see but it has a certain spirit to it.,
ThievingMagpiesWellDoorKey,Quest,Rare,Magpie Key,A key given to me by Micah to open doors in the Thieving Magpie Well,
DuskFirefly,General,Common,Dusk Firefly,"Small luminescent creatures that appear in the desert night. They only live for one day, a day spent frantically laying eggs in cacti that take a week to gestate.",
MelancholyMushroom,General,Common,Melancholy Mushroom,Found in the Petrified Forest in The Wash. They taste quite nice despite the miserable name.,
PricklyPear,General,Common,Prickly Pear,"Somehow manifested from bones of creatures out in the Wash, extremely tasty to eat but difficult to swallow due to the seeds that permeate the fruit.",
CrystalButterfly,General,Common,Crystal Butterfly,"These butterflies lay eggs in clusters of crystals, they seem to draw energy from the crystaline forms. Other butterflies struggle in the same conditions.",
CactusSpineRod,Fishing,Rare,Cactus Spine Rod,"Made from a cactus spine, the pliability of this rod makes it excellent to fish with.",
TricksterAtomicRod,Fishing,Rare,Trickster Atomic Rod,An extremely light and strong rod. Fishing is a breeze with this thing.,
BeetleBikePalette,General,Rare,Beetle Bike Dye,The dye bottle for the colours of the Beetle Bike.,
CrazyBikePalette,General,Rare,Crazy Bike Dye,The dye bottle for some very wacky Bike colours.,
AtomicCorePalette,General,Rare,Atomic Core Dye,The dye bottle for Atomic colours.,
AtomicShellPalette,General,Rare,Atomic Shell Dye,The dye bottle for the colours of the Atomic Shell Bike.,
AzurePalette,General,Rare,Azure Dye,The dye bottle for the colours of the Azure Bike.,
BeetleHuskPalette,General,Rare,Beetle Husk Dye,The dye bottle for the colours of the Beetle Husk Bike.,
DustyMonumentPalette,General,Rare,Dusty Monument Dye,The dye bottle for the colours of the Dusty Monument Bike.,
EccrineGreenPalette,General,Rare,Eccrine Green Dye,The dye bottle for the colours of the Eccrine Green Bike.,
HakoanBlackPalette,General,Rare,Hakoan Black Dye,The dye bottle for the colours of the Hakoan Black Bike.,
IbexiiRedPalette,General,Rare,Ibexii Red Dye,The dye bottle for the colours of the Ibexii Red Bike.,
LavenderFlashPalette,General,Rare,Lavender Flash Dye,The dye bottle for the colours of the Lavender Flash Bike.,
NaturesGreenPalette,General,Rare,Natures Green Dye,The dye bottle for Natures Green colours.,
NeonFlashPalette,General,Rare,Neon Flash Dye,The dye bottle for the colours of the Neon Flash Bike.,
PyraustaGreyPalette,General,Rare,Pyrausta Grey Dye,The dye bottle for the colours of the Pyrausta Grey Bike.,
SaltPlainPoolsPalette,General,Rare,Salt Plain Pools Dye,The dye bottle for Salt Plain Pools colours.,
SandyPalette,General,Rare,Sandy Dye,The dye bottle for the colours of the Sandy Bike.,
StrawPalette,General,Rare,Straw Dye,The dye bottle for the colours of the Straw Bike.,
SunsetsPalette,General,Rare,Sunsets Dye,The dye bottle for Sunsets colours.,
WashBluePalette,General,Rare,Wash Blue Dye,The dye bottle for Wash Blue colours.,
WindChimePalette,General,Rare,Wind Chime Dye,The dye bottle for the colours of the Wind Chime Bike.,
DeliveryBikePalette,General,Rare,Delivery Bike Dye,The dye bottle for the colours of the Delivery Bike.,
EyriesBikePalette,General,Rare,Eyries Bike Dye,The dye bottle for the colours of the Eyries Bike.,
GiraffeBikePalette,General,Rare,Giraffe Bike Dye,The dye bottle for the colours of the Giraffe Bike.,
GlidingBikePalette,General,Rare,Gliding Bike Dye,The dye bottle for the colours of the Gliding Bike.,
LightningCrystalBikePalette,General,Rare,Lightning Crystal Bike Dye,The dye bottle for the colours of the Lightning Crystal Bike.,
MonumentalBikePalette,General,Rare,Monumental Bike Dye,The dye bottle for the colours of the Monumental Bike.,
AtomicWhaleShipBikePalette,General,Rare,Whaleship Bike Dye,The dye bottle for the colours of the Whaleship Bike.,
NomadicBikePalette,General,Rare,Nomadic Bike Dye,The dye bottle for the colours of the Nomadic Bike.,
RedBikePalette,General,Rare,Red Bike Dye,The dye bottle for the colours of the Red Bike.,
SandcutterBikePalette,General,Rare,Sandcutter Bike Dye,The dye bottle for the colours of the Sandcutter Bike.,
SpeedsterBikePalette,General,Rare,Speedster Bike Dye,The dye bottle for the colours of the Speedster Bike.,
LarvalHuskPackage,Quest,Rare,Larval Husk Package,Ifaa wants me to deliver this to Aeyan in Eccria.,
PinkNeckEggs,Quest,Rare,Pink Neck Eggs,"Extremely rare eggs with a pink dusting. Laid by Pink Neck's up high in the geyser rocks of the salt plains to protect their young. The warm, moist air from the geysers are essential for a successful hatching.",
ScrappersBadge,Badge,Rare,Scrapper's Badge,Scrapper Altyn gave me this. I can trade it for a Scrapper's Mask.,
Compass,Key,Common,The Compass,"A device given to me by Jadi, it helps me find my way as I explore.",
CartographersMask,Clothing,Rare,Cartographer's Mask,A mask befitting the cartographer's guild. The metal instruments pivoting around the mask function to allow Cartographers to calibrate devices used to map out unexplored areas.,
MerchantsMask,Clothing,Rare,Merchant's Mask,The masks all the merchants in Midden wear. ,
ChumTear,Key,Rare,Chum Queen Tear,"A tear gifted to me by the Chum Queen for bringing her Chum Eggs. The tear entered my stomach when it was given to me, filling me with a warm strength, I feel stronger and my stamina improves with each tear.",
AtomicHeartSmashedGlass,Quest,Rare,CLUE: Smashed Glass,"Fragments of smashed glass discovered inside the Atomic Heart. Strangely, the glass seemed to be smashed from the inside as most of the glass landed outside the central chamber.",
AtomicHeartDebtNote,Quest,Rare,CLUE: Promissory Note,"A note found inside the Atomic Heart, it indicates a debt owed to some kind of Merchant. Not a group to be trifled with at the best of times.",
AtomicHeartFeather,Quest,Rare,CLUE: Large Feathers,Large feathers that clearly belong to a bird of considerable size. They were scattered inside in the Atomic Heart core chamber - a potential lead?,
AtomicHeartEmptySocket,Quest,Rare,CLUE: Empty Socket,"The empty socket where the Atomic Core was. Damage on it was completely superficial, something about it feels like a set up.",
AtomicHeartPowerCoreBroken,Quest,Rare,Broken Atomic Heart Powercore,"An broken powercore remnant - extrenely valuable when operational, this unit should be taken to the Machinist in Eccria for repair so it can be used to bring power back to Eccria.",
AtomicHeartPowerCoreRepaired,Quest,Rare,Repaired Atomic Heart Powercore,"Repaired by Machinist Hamza in Eccria, this powercore should be taken to the Atomic Heart so that it can be used to restore power back to Eccria.",
AtomicHeartSuspectGaray,Quest,Rare,SUSPECT: Climber Garay,"Garay lives in the Serai, just beneath the entrance to the town of Eccria. He wears a Climbers mask and he seems to give off an unpleasant odour. ",
AtomicHeartSuspectIria,Quest,Rare,SUSPECT: Merchant Iria,Iria is a Merchant that leads illicit Black Market operations. Her office is found above the Beetle Market in Eccria. It's not easy to be granted an audience with her but her guard is known to be susceptable to a monetary incentive.,
